station_abbr,station_name,station_canton,station_wigos_id,station_type_fr,station_type_en,station_dataowner,station_data_since,station_height_masl,station_height_barometer_masl,station_coordinates_lv95_east,station_coordinates_lv95_north,station_coordinates_wgs84_lat,station_coordinates_wgs84_lon,station_exposition_fr,station_exposition_en,station_url_fr,station_url_en
ENG,Engelberg,OW,0-20000-0-06655,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1864,1036,1037,2674162,1186069,46.821639,8.410514,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ENG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ENG
EVI,Evionnaz,VS,0-20000-0-06715,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,30.08.1993,482,483,2568196,1114693,46.182953,7.026747,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EVI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EVI
EVO,Evolène / Villa,VS,0-20000-0-06722,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,23.09.1986,1825,1829,2605412,1106748,46.112211,7.508631,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EVO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EVO
FAH,Fahy,JU,0-20000-0-06616,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1957,596,598,2562465,1252676,47.423814,6.941194,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FAH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FAH
FLU,Flühli,LU,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1882,940,,2644333,1193311,46.889436,8.020336,Versant ouest,western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FLU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FLU
FRE,Bullet / La Frétaz,VD,0-20000-0-06619,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1978,1205,1207,2534225,1188082,46.840622,6.576369,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FRE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FRE
FRU,Frutigen,BE,0-20000-0-06613,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,756,,2616773,1160884,46.599003,7.657542,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FRU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FRU
GEN,Monte Generoso,TI,0-20000-0-06777,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,26.03.1992,1600,1601,2722503,1087455,45.927592,9.017875,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GEN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GEN
GES,Gersau,SZ,0-20000-0-06653,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1867,521,521,2682510,1205572,46.996069,8.523442,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GES,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GES
GIH,Giswil,OW,0-20000-0-06657,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1976,471,472,2657323,1188976,46.849447,8.190225,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GIH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GIH
GLA,Glarus,GL,0-20000-0-06685,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,517,518,2723757,1210567,47.034586,9.066961,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GLA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GLA
GOE,Gösgen,SO,0-20000-0-06626,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,380,382,2640422,1245949,47.363147,7.973733,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GOE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GOE
GOR,Gornergrat,VS,0-20000-0-06749,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,28.07.1993,3129,3131,2626915,1092513,45.983644,7.785944,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GOR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GOR
GOS,Göschenen,UR,0-20000-0-06668,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1883,950,951,2688477,1171926,46.692678,8.595364,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GOS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GOS
GRA,Fribourg / Grangeneuve,FR,0-20000-0-06625,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,651,651,2575184,1180076,46.7714,7.113736,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GRA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GRA
GRC,Grächen,VS,0-20000-0-06728,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.12.1863,1605,1606,2630738,1116062,46.195314,7.836822,Versant ouest,western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GRC,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GRC
GRE,Grenchen,SO,0-20000-0-06632,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,14.05.1992,428,429,2598219,1225350,47.179097,7.415144,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GRE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GRE
GRH,Grimsel Hospiz,BE,0-20000-0-06744,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1868,1980,1962,2668583,1158215,46.571689,8.333256,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GRH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GRH
GRO,Grono,GR,0-20000-0-06758,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,324,324,2733018,1124089,46.255075,9.163758,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GRO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GRO
GSB,Col du Grand St-Bernard,VS,0-20000-0-06717,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1818,2472,2488,2579191,1079754,45.869092,7.170683,Col,pass,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GSB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GSB
GUE,Gütsch /  Andermatt,UR,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1954,2286,2288,2690087,1167480,46.652475,8.615531,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GUE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GUE
GUT,Güttingen,TG,0-20000-0-06621,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,440,441,2738423,1273962,47.601733,9.279428,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GUT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GUT
GVE,Genève / Cointrin,GE,0-20000-0-06700,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1753,411,412,2498904,1122632,46.247519,6.127742,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GVE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GVE
HAI,Salen-Reutenen,TG,0-20000-0-06623,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,719,720,2719100,1279047,47.651242,9.023911,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=HAI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=HAI
HLL,Hallau,SH,0-20000-0-06624,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.07.1886,419,420,2677457,1283472,47.697278,8.470464,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=HLL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=HLL
HOE,Hörnli,ZH,0-20000-0-06689,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1974,1133,1134,2713517,1247756,47.370864,8.941644,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=HOE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=HOE
ILZ,Ilanz,GR,0-20000-0-06789,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1892,698,699,2735686,1181965,46.775039,9.215353,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ILZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ILZ
INT,Interlaken,BE,0-20000-0-06734,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1894,578,580,2633043,1169070,46.672033,7.87045,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=INT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=INT
JUN,Jungfraujoch,VS,0-20000-0-06730,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1931,3571,3576,2641939,1155287,46.547556,7.985444,Col,pass,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=JUN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=JUN
KLO,Zürich / Kloten,ZH,0-20000-0-06670,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1935,426,428,2682711,1259339,47.479611,8.535961,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=KLO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=KLO
KOP,Koppigen,BE,0-20000-0-06635,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.11.1960,485,486,2612663,1218665,47.11885,7.605503,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=KOP,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=KOP
LAC,Lachen / Galgenen,SZ,0-20000-0-06665,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.10.1882,468,,2707638,1226334,47.179197,8.858686,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LAC,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LAC
LAE,Lägern,ZH,0-20000-0-06669,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,21.11.1989,845,,2672251,1259460,47.481933,8.397222,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LAE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LAE
LAG,Langnau i.E.,BE,0-20000-0-06638,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,744,745,2628004,1198793,46.939633,7.806425,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LAG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LAG
LAT,Bergün / Latsch,GR,0-20000-0-06642,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1973,1408,,2777274,1166618,46.627275,9.753706,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LAT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LAT
LEI,Leibstadt,AG,0-20000-0-06666,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,15.02.1984,341,343,2656375,1272122,47.597361,8.1882,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LEI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LEI
LUG,Lugano,TI,0-20000-0-06770,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,273,301,2717874,1095883,46.004217,8.960322,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LUG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LUG
LUZ,Luzern,LU,0-20000-0-06650,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,454,456,2665545,1209850,47.036439,8.301022,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=LUZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=LUZ
MAG,Magadino / Cadenazzo,TI,0-20000-0-06762,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.06.1953,203,205,2715480,1113161,46.160025,8.933672,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MAG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MAG
MAH,Mathod,VD,0-20000-0-06618,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,06.08.1992,435,436,2533458,1176568,46.736978,6.567983,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MAH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MAH
MAR,Les Marécottes,VS,0-20000-0-06614,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,990,,2567374,1107577,46.118903,7.016597,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MAR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MAR
MAS,Marsens,FR,0-20000-0-06640,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,715,,2571758,1167317,46.656486,7.069669,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MAS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MAS
MER,Meiringen,BE,0-20000-0-06637,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.07.1889,589,589,2655844,1175930,46.732222,8.169247,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MER,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MER
MLS,Le Moléson,FR,0-20000-0-06609,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,21.09.1982,1974,1976,2567718,1155077,46.546197,7.017753,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MLS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MLS
MOA,Mosen,LU,0-20000-0-06644,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,453,454,2660129,1232852,47.243847,8.232831,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MOA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MOA
MOB,Montagnier / Bagnes,VS,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.03.1906,839,840,2583491,1102189,46.071019,7.225272,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MOB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MOB
MOE,Möhlin,AG,0-20000-0-06641,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,343,344,2633054,1269147,47.572197,7.877911,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MOE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MOE
MTE,Mottec,VS,0-20000-0-06716,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1973,1580,1581,2614324,1110730,46.147897,7.624033,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MTE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MTE
MTR,Matro,TI,0-20000-0-06754,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,09.12.1992,2171,2190,2714264,1140943,46.410103,8.924742,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MTR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MTR
MUB,Mühleberg,BE,0-20000-0-06636,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1981,480,481,2587793,1202480,46.973278,7.278217,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MUB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MUB
MVE,Montana,VS,0-20000-0-06724,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1926,1423,1424,2601709,1127489,46.298806,7.460814,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=MVE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=MVE
NAP,Napf,BE,0-20000-0-06639,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1978,1404,1405,2638137,1206079,47.004667,7.940117,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=NAP,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=NAP
