station_abbr,station_name,station_canton,station_wigos_id,station_type_fr,station_type_en,station_dataowner,station_data_since,station_height_masl,station_height_barometer_masl,station_coordinates_lv95_east,station_coordinates_lv95_north,station_coordinates_wgs84_lat,station_coordinates_wgs84_lon,station_exposition_fr,station_exposition_en,station_url_fr,station_url_en
NAS,Naluns / Schlivera,GR,0-20000-0-06799,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,06.11.1992,2380,2381,2815375,1188987,46.817164,10.2614,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=NAS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=NAS
NEU,Neuchâtel,NE,0-20000-0-06604,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,485,485,2563087,1205560,47.000067,6.953297,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=NEU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=NEU
OBR,Oberriet / Kriessern,SG,0-20000-0-06649,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,27.08.2014,409,410,2764171,1249582,47.376608,9.612706,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=OBR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=OBR
ORO,Oron,VD,0-20000-0-06708,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1993,828,829,2555505,1158053,46.572269,6.858239,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ORO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ORO
OTL,Locarno / Monti,TI,0-20000-0-06760,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,367,374,2704167,1114316,46.172256,8.787494,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=OTL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=OTL
PAY,Payerne,VD,0-20000-0-06610,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1964,490,490,2562131,1184612,46.811581,6.942469,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PAY,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PAY
PFA,Pfäffikon,ZH,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,537,538,2699401,1248165,47.376817,8.754864,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PFA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PFA
PIL,Pilatus,OW,0-20000-0-06659,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,31.12.1980,2105,2109,2661905,1203410,46.978869,8.252256,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PIL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PIL
PIO,Piotta,TI,0-20000-0-06753,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,990,991,2695881,1152264,46.514811,8.688039,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PIO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PIO
PLF,Plaffeien,FR,0-20000-0-06628,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1972,1042,1044,2586828,1177407,46.747717,7.266264,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PLF,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PLF
PMA,Piz Martegnas,GR,0-20000-0-06795,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,28.10.1993,2668,2669,2760262,1160570,46.577181,9.529544,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PMA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PMA
PRE,St-Prex,VD,0-20000-0-06706,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,16.04.1993,425,,2523549,1148526,46.483683,6.443,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PRE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PRE
PSI,Würenlingen / PSI,AG,0-20000-0-06647,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,14.01.1992,334,336,2659356,1265381,47.536475,8.226944,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PSI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PSI
PUY,Pully,VD,0-20000-0-06711,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,456,457,2540819,1151511,46.512283,6.667517,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=PUY,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=PUY
QUI,Quinten,SG,0-20000-0-06687,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,23.07.1992,419,421,2734849,1221278,47.128739,9.21605,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=QUI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=QUI
RAG,Bad Ragaz,SG,0-20000-0-06686,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,497,497,2756911,1209351,47.016631,9.502594,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=RAG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=RAG
REH,Zürich / Affoltern,ZH,0-20000-0-06664,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,444,445,2681433,1253548,47.427694,8.517953,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=REH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=REH
ROB,Poschiavo / Robbia,GR,0-20000-0-06794,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,1078,1079,2801994,1136249,46.347217,10.063031,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ROB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ROB
ROE,Robièi,TI,0-20000-0-06751,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,19.12.1990,1898,1896,2682588,1144091,46.443067,8.513389,Dépression,basin,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ROE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ROE
RUE,Rünenberg,BL,0-20000-0-06645,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.05.1982,611,613,2633253,1253846,47.434572,7.879414,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=RUE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=RUE
SAE,Säntis,AI,0-20000-0-06680,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,2501,2494,2744188,1234920,47.249447,9.343469,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SAE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SAE
SAG,Sattel,SZ,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,790,791,2691000,1215145,47.081064,8.636967,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SAG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SAG
SAM,Samedan,GR,0-20000-0-06792,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,1709,1710,2787251,1155685,46.526247,9.879469,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SAM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SAM
SBE,S. Bernardino,GR,0-20000-0-06783,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1864,1639,1640,2734116,1147294,46.463542,9.1847,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SBE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SBE
SBO,Stabio,TI,0-20000-0-06771,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,09.07.1981,351,353,2716049,1077972,45.843444,8.932364,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SBO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SBO
SCM,Schmerikon,SG,0-20000-0-06683,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,28.01.1993,408,409,2713726,1231533,47.224933,8.9403,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SCM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SCM
SCU,Scuol,GR,0-20000-0-06798,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1881,1304,1305,2817139,1186393,46.793275,10.283267,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SCU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SCU
SHA,Schaffhausen,SH,0-20000-0-06620,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.10.1863,438,440,2688704,1282803,47.689842,8.620142,Versant est,eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SHA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SHA
SIA,Segl-Maria,GR,0-20000-0-06779,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.12.1863,1804,1805,2778576,1144976,46.432331,9.762325,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SIA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SIA
SIM,Simplon-Dorf,VS,0-20000-0-06654,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,1465,1473,2647683,1116340,46.196825,8.056336,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SIM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SIM
SIO,Sion,VS,0-20000-0-06720,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,482,483,2591633,1118584,46.21865,7.330203,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SIO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SIO
SMA,Zürich / Fluntern,ZH,0-20000-0-06660,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,556,557,2685118,1248066,47.377925,8.565742,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SMA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SMA
SMM,Sta. Maria /  Val Müstair,GR,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.10.1900,1386,1387,2828862,1165580,46.602256,10.426314,Versant nord-ouest,north-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SMM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SMM
SPF,Schüpfheim,LU,0-20000-0-06651,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,28.04.1993,744,745,2643684,1199711,46.947042,8.012442,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SPF,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SPF
SRS,Schiers,GR,0-20000-0-06790,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.06.1885,626,,2769618,1205125,46.975506,9.668075,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=SRS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=SRS
STC,St. Chrischona,BS,0-20000-0-06600,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,12.12.1991,493,,2618696,1269037,47.571767,7.687094,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=STC,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=STC
STG,St. Gallen,SG,0-20000-0-06681,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,776,777,2747866,1254588,47.425475,9.398528,Versant nord-ouest,north-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=STG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=STG
STK,Steckborn,TG,0-20000-0-06671,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1993,397,398,2715872,1280916,47.668628,8.981433,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=STK,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=STK
TAE,Aadorf / Tänikon,TG,0-20000-0-06679,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1970,539,539,2710518,1259824,47.479892,8.904928,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=TAE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=TAE
THU,Thun,BE,0-20000-0-06731,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,31.05.1875,570,571,2611201,1177640,46.749853,7.585222,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=THU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=THU
TIT,Titlis,OW,0-20000-0-06740,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,19.05.1993,3045,3096,2675413,1180411,46.770608,8.425981,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=TIT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=TIT
UEB,Uetliberg,ZH,0-20000-0-06677,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,14.11.1991,854,,2679455,1245034,47.351364,8.490225,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=UEB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=UEB
ULR,Ulrichen,VS,0-20000-0-06745,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,1346,1347,2666748,1150767,46.504881,8.308236,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ULR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ULR
VAB,Valbella,GR,0-20000-0-06793,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.07.1993,1568,1569,2761636,1180385,46.755039,9.554433,Col,pass,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VAB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VAB
VAD,Vaduz,FL,0-20000-0-06990,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,457,459,2757724,1221699,47.127472,9.517578,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VAD,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VAD
VEV,Vevey / Corseaux,VD,0-20000-0-06603,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,405,,2552106,1146847,46.471239,6.815056,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VEV,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VEV
VIO,Vicosoprano,GR,0-20000-0-06788,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,1089,1090,2768487,1135866,46.353019,9.6278,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VIO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VIO
VIS,Visp,VS,0-20000-0-06727,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,639,641,2631151,1128024,46.3029,7.842958,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VIS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VIS
VIT,Villars-Tiercelin,VD,0-20000-0-06707,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1973,859,,2544198,1163651,46.621778,6.710069,Versant ouest,western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VIT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VIT
VLS,Vals,GR,0-20000-0-06663,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1892,1242,,2734017,1165551,46.627758,9.188711,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=VLS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=VLS
WAE,Wädenswil,ZH,0-20000-0-06673,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,485,487,2693848,1230744,47.220958,8.677706,Versant nord-est,north-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=WAE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=WAE
WFJ,Weissfluhjoch,GR,0-20000-0-06780,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.11.1958,2691,2674,2780616,1189634,46.833325,9.806394,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=WFJ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=WFJ
WYN,Wynau,BE,0-20000-0-06643,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1978,422,424,2626405,1233849,47.255025,7.787475,Dépression,basin,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=WYN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=WYN
ZER,Zermatt,VS,0-20000-0-06748,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.04.1892,1638,1640,2624298,1097574,46.029272,7.752433,Versant ouest,western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ZER,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ZER
